,state,Year,cost_per_pack,sales_per_capita,tax_dollar,tax_percent,tax_revenue,tax_state,index,price_cpi
0,Alabama,1970,0.427,89.8,0.2,46.8,36739131.0,0.12,38.824999999999996,2.3975788795878947
1,Alabama,1971,0.423,95.4,0.2,47.3,39490694.0,0.12,40.49166666666667,2.277357480963161
2,Alabama,1972,0.421,101.1,0.2,47.5,42198422.0,0.12,41.81666666666667,2.194770825029892
3,Alabama,1973,0.431,102.9,0.2,46.4,43328876.0,0.12,44.4,2.116171171171171
4,Alabama,1974,0.466,108.2,0.2,42.9,45943402.0,0.12,49.30833333333334,2.0602602670272097
5,Alabama,1975,0.504,111.7,0.2,39.7,47956285.0,0.12,53.81666666666666,2.0415980179622175
6,Alabama,1976,0.501,116.2,0.2,39.9,50409197.0,0.12,56.90833333333333,1.9191916825303852
7,Alabama,1977,0.551,117.1,0.2,36.3,51516608.0,0.12,60.60833333333333,1.9818726797745088
8,Alabama,1978,0.568,123.0,0.2,35.2,54460929.0,0.12,65.23333333333333,1.8981706693919262
9,Alabama,1979,0.606,121.4,0.2,33.3,54496057.0,0.12,72.575,1.8202962452635203
10,Alabama,1980,0.688,123.2,0.24,34.9,55701205.0,0.12,82.40833333333333,1.8200101122459298
11,Alabama,1981,0.731,119.6,0.24,32.8,72852874.0,0.16,90.925,1.7526312895243332
12,Alabama,1982,0.844,119.1,0.24,38.4,74641962.0,0.16,96.5,1.9066528497409325
13,Alabama,1983,0.908,116.3,0.32,35.2,73371489.0,0.16,99.60000000000001,1.9873895582329315
14,Alabama,1984,0.99,113.0,0.325,32.8,72144256.0,0.16,103.88333333333333,2.077522862185144
15,Alabama,1985,1.03,114.5,0.325,31.6,76693928.0,0.165,107.56666666666666,2.087449643631856
16,Alabama,1986,1.1,116.3,0.325,29.6,77175083.0,0.165,109.60833333333333,2.187789857827112
17,Alabama,1987,1.144,114.0,0.325,28.5,77097672.0,0.165,113.625,2.1948690869086906
18,Alabama,1988,1.223,112.1,0.325,26.6,76529290.0,0.165,118.25833333333333,2.2545049679374256
19,Alabama,1989,1.391,105.6,0.325,23.4,74959156.0,0.165,123.96666666666665,2.4461253025006724
20,Alabama,1990,1.444,108.6,0.325,22.5,74656216.0,0.165,130.65833333333333,2.409276101792206
21,Alabama,1991,1.722,107.9,0.365,21.2,73585654.0,0.165,136.19166666666666,2.7563801015725384
22,Alabama,1992,1.762,109.1,0.365,20.7,73149118.0,0.165,140.31666666666666,2.737493764105001
23,Alabama,1993,1.546,108.5,0.405,26.2,72619924.0,0.165,144.45833333333334,2.333046437842515
24,Alabama,1994,1.551,107.1,0.405,26.1,72324900.0,0.165,148.225,2.281113172541744
25,Alabama,1995,1.583,102.6,0.405,25.6,70450119.0,0.165,152.38333333333333,2.264643989937657
26,Alabama,1996,1.674,101.4,0.405,24.2,70950600.0,0.165,156.85,2.3266305387312722
27,Alabama,1997,1.805,104.9,0.405,22.4,73953302.0,0.165,160.51666666666668,2.45139653203198
